Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-monitoring.json	46234	-	0	0	1	0	0	0	18	64	0	0	0	0	0	0	0	1	0	0	0	188	423	0	0	0	0	12	0	2
fsh-generated/resources/Appointment-Appointment-testapp.json	673	4	0	0	1	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	18	24	0	0	0	5	0	0	0
fsh-generated/resources/CareTeam-CareTeam-F-7766077.json	772	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-Katheter.json	215	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-OPAT.json	296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-Spoed.json	214	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-MED-medischeVG.json	329	1	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Ademhalingsproblemen.json	333	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Andere.json	319	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Blaren.json	319	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Braken.json	319	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Candidiase.json	323	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0	0
