"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FibricheckMeasurementModel","FibricheckMeasurementModel","FibricheckMeasurementModel","","","",0,*,"","","","null {[]} {[]}
","Fibricheck Measurement Logical Model","The data structure for Fibricheck measurement events.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient","FibricheckMeasurementModel.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","patient data","patient data","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.id","FibricheckMeasurementModel.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.extension","FibricheckMeasurementModel.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.modifierExtension","FibricheckMeasurementModel.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.fibricheckUserId","FibricheckMeasurementModel.patient.fibricheckUserId","","","",1,1,"","","","string {[]} {[]}
","user id","user id","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.patient.fibricheckUserId",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.nissNumber","FibricheckMeasurementModel.patient.nissNumber","","","",1,1,"","","","string {[]} {[]}
","Patient NISS Number","Patient NISS Number","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.patient.nissNumber",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.userName","FibricheckMeasurementModel.patient.userName","","","",1,1,"","","","HumanName {[]} {[]}
","user name","user name","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.patient.userName",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.userEmail","FibricheckMeasurementModel.patient.userEmail","","","",1,1,"","","","string {[]} {[]}
","app version","app version","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.patient.userEmail",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.patient.dateOfBirth","FibricheckMeasurementModel.patient.dateOfBirth","","","",1,1,"","","","date {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.patient.dateOfBirth",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.status","FibricheckMeasurementModel.status","","","",1,1,"","","","code {[]} {[]}
","Measurement status","Measurement status","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.status",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.measurementTimeStamp","FibricheckMeasurementModel.measurementTimeStamp","","","",1,1,"","","","dateTime {[]} {[]}
","Measurement timestamp","Measurement timestamp","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.measurementTimeStamp",1,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm","FibricheckMeasurementModel.heartRhythm","","","",0,1,"","","","BackboneElement {[]} {[]}
","heart rhythm","heart rhythm","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.heartRhythm",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm.id","FibricheckMeasurementModel.heartRhythm.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm.extension","FibricheckMeasurementModel.heartRhythm.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm.modifierExtension","FibricheckMeasurementModel.heartRhythm.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm.hrindicator","FibricheckMeasurementModel.heartRhythm.hrindicator","","","",0,1,"","","","code {[]} {[]}
","the result of the finding and review","the result of the finding and review","","","","","","","","","",,"required","","http://hl7belgium.org/fhir/patient-monitoring/ValueSet/FCHRIndicatorVS","",,,,"FibricheckMeasurementModel.heartRhythm.hrindicator",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm.hrReviewFinding","FibricheckMeasurementModel.heartRhythm.hrReviewFinding","","","",0,1,"","","","code {[]} {[]}
","the finding after review","the finding after review","","","","","","","","","",,"required","","http://hl7belgium.org/fhir/patient-monitoring/ValueSet/FCHRFindingVS","",,,,"FibricheckMeasurementModel.heartRhythm.hrReviewFinding",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.heartRhythm.rmssd","FibricheckMeasurementModel.heartRhythm.rmssd","","","",0,1,"","","","decimal {[]} {[]}
","rmssd value","root mean square of successive differences between normal heartbeats","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.heartRhythm.rmssd",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.context","FibricheckMeasurementModel.context","","","",0,1,"","","","BackboneElement {[]} {[]}
","context during a finding","context during a finding","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.context",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FibricheckMeasurementModel","FibricheckMeasurementModel.context.id","FibricheckMeasurementModel.context.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.context.extension","FibricheckMeasurementModel.context.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.context.modifierExtension","FibricheckMeasurementModel.context.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.context.symptoms","FibricheckMeasurementModel.context.symptoms","","","",0,*,"","","","code {[]} {[]}
","symptoms","symptoms","","","","","","","","","",,"required","","http://hl7belgium.org/fhir/patient-monitoring/ValueSet/FCContextSymptomsVS","",,,,"FibricheckMeasurementModel.context.symptoms",0,*,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.context.activityStatus","FibricheckMeasurementModel.context.activityStatus","","","",0,1,"","","","code {[]} {[]}
","activity status","activity status","","","","","","","","","",,"required","","http://hl7belgium.org/fhir/patient-monitoring/ValueSet/FCContextActivityVS","",,,,"FibricheckMeasurementModel.context.activityStatus",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.context.chadsvasc","FibricheckMeasurementModel.context.chadsvasc","","","",0,*,"","","","code {[]} {[]}
","previous chadsvasc questions and score","previous chadsvasc questions and score","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.context.chadsvasc",0,*,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.reports","FibricheckMeasurementModel.reports","","","",0,1,"","","","BackboneElement {[]} {[]}
","reports","reports","","","","","","","","","",,,,,"",,,,"FibricheckMeasurementModel.reports",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FibricheckMeasurementModel","FibricheckMeasurementModel.reports.id","FibricheckMeasurementModel.reports.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FibricheckMeasurementModel","FibricheckMeasurementModel.reports.extension","FibricheckMeasurementModel.reports.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FibricheckMeasurementModel","FibricheckMeasurementModel.reports.modifierExtension","FibricheckMeasurementModel.reports.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
