"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HomeHospEncounter","HomeHospEncounter","","","",0,*,"","","","null {[]} {[]}
","Home Hospitalization Encounter Logical Model","Logical model representing the FHIR Encounter resource as used in the OPAT and ONCO home hospitalization caresets. The Encounter serves two purposes: (1) recording whether the home visit took place and whether the patient was home, and (2) communicating the status of each ordered care activity back to the hospital. Only orders given by the hospital should be communicated back via this Encounter; other nursing activities are excluded.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HomeHospEncounter.status","HomeHospEncounter.status","","","",1,1,"","","","code {[]} {[]}
","Status of the encounter - reported from Home nurse back to hospital | Answers: finished | cancelled | entered-in-error","Status of the encounter - reported from Home nurse back to hospital | Answers: finished | cancelled | entered-in-error","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.status",1,1,"",""
"HomeHospEncounter.class","HomeHospEncounter.class","","","",1,1,"","","","code {[]} {[]}
","Classification of the encounter | Fixed value: HH (home health) from http://terminology.hl7.org/CodeSystem/v3-ActCode","Classification of the encounter | Fixed value: HH (home health) from http://terminology.hl7.org/CodeSystem/v3-ActCode","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.class",1,1,"",""
"HomeHospEncounter.period","HomeHospEncounter.period","","","",1,1,"","","","BackboneElement {[]} {[]}
","The start (and optionally end) time of the encounter","The start (and optionally end) time of the encounter","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.period",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HomeHospEncounter.period.id","HomeHospEncounter.period.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HomeHospEncounter.period.extension","HomeHospEncounter.period.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HomeHospEncounter.period.modifierExtension","HomeHospEncounter.period.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HomeHospEncounter.period.start","HomeHospEncounter.period.start","","","",1,1,"","","","dateTime {[]} {[]}
","Start date/time of the home visit","Start date/time of the home visit","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.period.start",1,1,"",""
"HomeHospEncounter.period.end","HomeHospEncounter.period.end","","","",0,1,"","","","dateTime {[]} {[]}
","End date/time of the home visit","End date/time of the home visit","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.period.end",0,1,"",""
"HomeHospEncounter.participant","HomeHospEncounter.participant","","","",1,*,"","","","BackboneElement {[]} {[]}
","The home nurse performing the visit","The home nurse performing the visit","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.participant",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HomeHospEncounter.participant.id","HomeHospEncounter.participant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HomeHospEncounter.participant.extension","HomeHospEncounter.participant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HomeHospEncounter.participant.modifierExtension","HomeHospEncounter.participant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HomeHospEncounter.participant.type","HomeHospEncounter.participant.type","","","",1,1,"","","","code {[]} {[]}
","Participant type | Fixed value: PPRF (primary performer) from http://terminology.hl7.org/CodeSystem/v3-ParticipationType","Participant type | Fixed value: PPRF (primary performer) from http://terminology.hl7.org/CodeSystem/v3-ParticipationType","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.participant.type",1,1,"",""
"HomeHospEncounter.participant.individual","HomeHospEncounter.participant.individual","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner]]}
","Reference or display name and RIZIV number of the performing home nurse","Reference or display name and RIZIV number of the performing home nurse","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.participant.individual",1,1,"",""
"HomeHospEncounter.reasonCode","HomeHospEncounter.reasonCode","","","",1,*,"","","","BackboneElement {[]} {[]}
","The ordered care activities being reported on. One reasonCode entry per ordered activity (e.g. medication administration + catheter care). Only orders from the hospital should be included.","The ordered care activities being reported on. One reasonCode entry per ordered activity (e.g. medication administration + catheter care). Only orders from the hospital should be included.","","","","","","","","","",,,,,"",,,,"HomeHospEncounter.reasonCode",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HomeHospEncounter.reasonCode.id","HomeHospEncounter.reasonCode.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HomeHospEncounter.reasonCode.extension","HomeHospEncounter.reasonCode.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
