"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"fibricheck-measurement-model","fibricheck-measurement-model","","","",0,*,"","","","null {[]} {[]}
","Fibricheck Measurement Logical Model","The data structure for Fibricheck measurement events.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fibricheck-measurement-model.patient","fibricheck-measurement-model.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","patient data","patient data","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fibricheck-measurement-model.patient.id","fibricheck-measurement-model.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"fibricheck-measurement-model.patient.extension","fibricheck-measurement-model.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"fibricheck-measurement-model.patient.modifierExtension","fibricheck-measurement-model.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"fibricheck-measurement-model.patient.fibricheckUserId","fibricheck-measurement-model.patient.fibricheckUserId","","","",1,1,"","","","string {[]} {[]}
","user id","user id","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.patient.fibricheckUserId",1,1,"",""
"fibricheck-measurement-model.patient.niss-number","fibricheck-measurement-model.patient.niss_number","","","",1,1,"","","","string {[]} {[]}
","Patient NISS Number","Patient NISS Number","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.patient.niss_number",1,1,"",""
"fibricheck-measurement-model.patient.userName","fibricheck-measurement-model.patient.userName","","","",1,1,"","","","HumanName {[]} {[]}
","user name","user name","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.patient.userName",1,1,"",""
"fibricheck-measurement-model.patient.userEmail","fibricheck-measurement-model.patient.userEmail","","","",1,1,"","","","string {[]} {[]}
","app version","app version","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.patient.userEmail",1,1,"",""
"fibricheck-measurement-model.patient.dateOfBirth","fibricheck-measurement-model.patient.dateOfBirth","","","",1,1,"","","","date {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.patient.dateOfBirth",1,1,"",""
"fibricheck-measurement-model.status","fibricheck-measurement-model.status","","","",1,1,"","","","code {[]} {[]}
","Measurement status","Measurement status","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.status",1,1,"",""
"fibricheck-measurement-model.measurementTimeStamp","fibricheck-measurement-model.measurementTimeStamp","","","",1,1,"","","","dateTime {[]} {[]}
","Measurement timestamp","Measurement timestamp","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.measurementTimeStamp",1,1,"",""
"fibricheck-measurement-model.heartRhythm","fibricheck-measurement-model.heartRhythm","","","",0,1,"","","","BackboneElement {[]} {[]}
","heart rhythm","heart rhythm","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.heartRhythm",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fibricheck-measurement-model.heartRhythm.id","fibricheck-measurement-model.heartRhythm.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"fibricheck-measurement-model.heartRhythm.extension","fibricheck-measurement-model.heartRhythm.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"fibricheck-measurement-model.heartRhythm.modifierExtension","fibricheck-measurement-model.heartRhythm.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"fibricheck-measurement-model.heartRhythm.hr-indicator","fibricheck-measurement-model.heartRhythm.hr-indicator","","","",0,1,"","","","code {[]} {[]}
","the result of the finding and review","the result of the finding and review","","","","","","","","","",,"required","","http://example.com/fhir/example/ValueSet/FCHRIndicatorVS","",,,,"fibricheck-measurement-model.heartRhythm.hr-indicator",0,1,"",""
"fibricheck-measurement-model.heartRhythm.hrReviewFinding","fibricheck-measurement-model.heartRhythm.hrReviewFinding","","","",0,1,"","","","code {[]} {[]}
","the finding after review","the finding after review","","","","","","","","","",,"required","","http://example.com/fhir/example/ValueSet/FCHRFindingVS","",,,,"fibricheck-measurement-model.heartRhythm.hrReviewFinding",0,1,"",""
"fibricheck-measurement-model.heartRhythm.rmssd","fibricheck-measurement-model.heartRhythm.rmssd","","","",0,1,"","","","decimal {[]} {[]}
","rmssd value","root mean square of successive differences between normal heartbeats","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.heartRhythm.rmssd",0,1,"",""
"fibricheck-measurement-model.context","fibricheck-measurement-model.context","","","",0,1,"","","","BackboneElement {[]} {[]}
","context during a finding","context during a finding","","","","","","","","","",,,,,"",,,,"fibricheck-measurement-model.context",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fibricheck-measurement-model.context.id","fibricheck-measurement-model.context.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"fibricheck-measurement-model.context.extension","fibricheck-measurement-model.context.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
