"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HomeHospQuestionnaireResponse","HomeHospQuestionnaireResponse","","","",0,*,"","","","null {[]} {[]}
","Home Hospitalization QuestionnaireResponse Logical Model","Logical model representing the FHIR QuestionnaireResponse resource as used in the OPAT and ONCO home hospitalization caresets. Each home nurse visit produces exactly one QuestionnaireResponse if the visit was not cancelled, which corresponds to a single Encounter. The QuestionnaireResponse references the canonical Questionnaire URL and contains the nurse's answers. It can be used as-is for clinical review or as input to an SDC Definition-based extraction pipeline that generates discrete FHIR Observations.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HomeHospQuestionnaireResponse.questionnaire","HomeHospQuestionnaireResponse.questionnaire","","","",1,1,"","","","canonical {[]} {[]}
","Canonical URL of the Questionnaire this response is based on (e.g. http://hl7belgium.org/fhir/patient-monitoring/Questionnaire/OPATContinuInfuusV1)","Canonical URL of the Questionnaire this response is based on (e.g. http://hl7belgium.org/fhir/patient-monitoring/Questionnaire/OPATContinuInfuusV1)","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.questionnaire",1,1,"",""
"HomeHospQuestionnaireResponse.status","HomeHospQuestionnaireResponse.status","","","",1,1,"","","","code {[]} {[]}
","Status of the questionnaire response | Answers: completed | entered-in-error","Status of the questionnaire response | Answers: completed | entered-in-error","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.status",1,1,"",""
"HomeHospQuestionnaireResponse.subject","HomeHospQuestionnaireResponse.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient]]}
","Reference to the Patient this response is about","Reference to the Patient this response is about","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.subject",1,1,"",""
"HomeHospQuestionnaireResponse.encounter","HomeHospQuestionnaireResponse.encounter","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7belgium.org/fhir/patient-monitoring/StructureDefinition/homehosp-encounter-lm]]}
","Reference to the Encounter during which this response was captured - !!! in testphase this was not required but it makes sence to reference the encounter","Reference to the Encounter during which this response was captured - !!! in testphase this was not required but it makes sence to reference the encounter","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.encounter",1,1,"",""
"HomeHospQuestionnaireResponse.authored","HomeHospQuestionnaireResponse.authored","","","",1,1,"","","","dateTime {[]} {[]}
","Date/time when the response was completed","Date/time when the response was completed","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.authored",1,1,"",""
"HomeHospQuestionnaireResponse.author","HomeHospQuestionnaireResponse.author","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner]]}
","Reference to the home nurse who authored the response (Practitioner)","Reference to the home nurse who authored the response (Practitioner)","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.author",0,1,"",""
"HomeHospQuestionnaireResponse.source","HomeHospQuestionnaireResponse.source","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient]]}
","Reference to the person who provided the answers (if different from author)","Reference to the person who provided the answers (if different from author)","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.source",0,1,"",""
"HomeHospQuestionnaireResponse.item","HomeHospQuestionnaireResponse.item","","","",1,*,"","","","BackboneElement {[]} {[]}
","Answer items corresponding to questionnaire groups and questions. Structure mirrors the Questionnaire item hierarchy (groups and leaf questions). Each leaf item contains a linkId, optional text, and one or more answer values.","Answer items corresponding to questionnaire groups and questions. Structure mirrors the Questionnaire item hierarchy (groups and leaf questions). Each leaf item contains a linkId, optional text, and one or more answer values.","","","","","","","","","",,,,,"",,,,"HomeHospQuestionnaireResponse.item",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HomeHospQuestionnaireResponse.item.id","HomeHospQuestionnaireResponse.item.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
