URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/FluidDrainVS,0.1.0,draft,"2.16.840.1.113883.4.642.40.54.48.10",FluidDrainVS,Fluid Drain Value Set,"Valid UCUM units for drain fluid measurement",,"UCUM"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/YesNoVS,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.11",YesNoVS,Yes / No Value Set,"SNOMED CT codes for a simple yes or no answer, used across all home-hospitalization questionnaires.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/catheter-patency,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.14",CatheterPatencyVS,Catheter Patency Scale,"SNOMED CT codes representing the ease of blood aspiration or infusion through a vascular catheter, used in OPAT home-hospitalization questionnaires.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/catheter-type,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.18",CatheterTypeVS,Catheter Type,"SNOMED CT codes identifying the type of vascular catheter in place, used in OPAT home-hospitalization questionnaires.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/continence-level,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.7",ContinenceLevel,Continence Level,"LOINC codes to represent the level of continence reported",,"LOINC"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/decision,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.20",DecisionVS,Medication Administration Decision,"Codes for the nurse's decision after contraindication assessment — whether to administer, withhold, or take another action following consultation with the hospital care team.",,"Internal"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/heart-failure-symptoms,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.5",HeartFailureSymptoms,Heart Failure Symptom Codes,"SNOMED CT codes representing common patient-reported symptoms in heart failure",,"SCT,Other"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/holter-event-codes,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.1",HolterEventCodes,Holter Event Codes,"Codes used to classify Holter-detected rhythm events",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/holter-event-component-codes,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.3",HolterEventComponentCodes,Holter Observation Component Codes,"LOINC codes for component observations in Holter events (e.g., heart rate)",,"LOINC"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/holter-report-code,0.1.0,draft,"2.16.840.1.113883.4.642.40.54.48.4",HolterReportCode,Holter Report Code,"Ambulatory cardiac rhythm monitor report (Holter)",,"LOINC"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/homehosp-side-effect-severity,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.13",HomehospSideEffectSeverityVS,Home Hospitalization Side Effect Severity Scale,"SNOMED CT codes representing the severity of side effects in OPAT home-hospitalization questionnaires: Absent, Mild, Moderate and Severe.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/lumen-color,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.19",LumenColorVS,Catheter Lumen Color,"SNOMED CT codes for the color label of a catheter lumen, used in OPAT home-hospitalization questionnaires to distinguish multi-lumen catheters.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/medication-storage,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.17",MedicationStorageVS,Medication Storage Status,"SNOMED CT codes representing whether the home medication storage of a patient is appropriate or has issues, used in OPAT and ONCO home-hospitalization questionnaires.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/normal-abnormal,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.15",NormalAbnormalVS,Normal / Abnormal Finding,"SNOMED CT codes to represent a binary normal vs. abnormal clinical finding, used for dressing, insertion-site, and catheter observation items in OPAT home-hospitalization questionnaires.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/onco-symptom-grade,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.12",ONCOSymptomGradeVS,ONCO Symptom Grade Scale (CTCAE 0–3),"SNOMED CT codes representing the Common Terminology Criteria for Adverse Events (CTCAE) grade scale 0 to 3, used to score symptom severity in ONCO home-hospitalization questionnaires.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/pain-scale,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.9",PainScale,Pain severity - 0-10 verbal numeric rating,"Pain severity scale, where 0 is no pain and 10 is the worst pain imaginable. See https://loinc.org/72514-3",,"LOINC"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/symptom-severity,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.6",SymptomSeverity,Symptom Severity Scale,"SNOMED CT codes to represent severity of patient-reported symptoms",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/true-false,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.16",TrueFalseVS,True / False Value Set,"SNOMED CT codes for a simple true or false answer.",,"SCT"
http://hl7belgium.org/fhir/patient-monitoring/ValueSet/well-poor-scale,0.1.0,active,"2.16.840.1.113883.4.642.40.54.48.8",WellPoorScale,0-10 scale, 0.5 increments, Very well to Very poor,"Scale going from 0 to 10 in increments of 0.5. Indicating values very well to very port (see https://loinc.org/LL3092-5)",,"LOINC"
